"gene","module","MM_own","GS_growth"
"Gohir.A11G312000","turquoise",0.897172927680662,0.97349080519701
"Gohir.A10G196300","turquoise",0.948204807442919,0.973453943533753
"Gohir.D01G080900","turquoise",0.872993464587459,0.973435447860619
"Gohir.A11G312100","turquoise",0.932842931991888,0.973428535387832
"Gohir.D07G239400","blue",0.943171186860058,-0.97339874131426
"Gohir.A10G182400","turquoise",0.87860890969201,0.973388330371976
"Gohir.D11G246400","blue",0.93586424395632,-0.973358974194922
"Gohir.A05G413200","turquoise",0.928488388162289,0.973340728565866
"Gohir.D05G134900","turquoise",0.946623257647414,0.973312596210003
"Gohir.D10G093800","turquoise",0.927189373087698,0.973289124901685
"Gohir.D12G077900","turquoise",0.938350269065485,0.973244654018761
"Gohir.D01G072000","blue",0.933388958451725,-0.973230865603283
"Gohir.A12G178100","turquoise",0.790270306901147,0.973178196927315
"Gohir.A05G297200","blue",0.975567068443643,-0.973088583238067
"Gohir.A11G151200","blue",0.94793419614115,-0.973078759994808
"Gohir.A11G187300","turquoise",0.96306939456296,0.973000102592027
"Gohir.A03G017000","blue",0.953836023312923,-0.972974875765855
"Gohir.D11G347000","turquoise",0.900666604251194,0.972856298447277
"Gohir.A12G059400","blue",0.962832616492158,-0.972846235586954
"Gohir.D13G230700","blue",0.988340154027453,-0.972814550770203
"Gohir.D09G189900","blue",0.984109170365991,-0.972786566612955
"Gohir.D11G110000","blue",0.805207999423777,-0.972782274451269
"Gohir.A09G195300","blue",0.992824382610658,-0.972731962140256
"Gohir.A01G085700","blue",0.967379676601982,-0.972716331665105
"Gohir.A11G202500","turquoise",0.874133017707947,0.972699237073904
"Gohir.A11G105100","blue",0.79223832753189,-0.972559925888543
"Gohir.A06G166500","turquoise",0.957335145474855,0.972512894857719
"Gohir.D05G344800","blue",0.893241029013651,-0.972507796155351
"Gohir.A02G079300","blue",0.919026752238526,-0.972480979278838
"Gohir.A10G059850","turquoise",0.935776710461888,0.972451578746337
"Gohir.A12G218600","blue",0.970304021537825,-0.97239892739231
"Gohir.D05G104200","turquoise",0.899774128025576,0.972398384001911
"Gohir.D08G144700","turquoise",0.910747494938359,0.972371250403341
"Gohir.D06G005900","blue",0.985978416267322,-0.972333670819639
"Gohir.D07G194100","turquoise",0.758751099521731,0.972327921836529
"Gohir.D05G007100","turquoise",0.857442124311623,0.972326022142511
"Gohir.A04G083100","turquoise",0.863777179783391,0.972309061462279
"Gohir.A09G080900","turquoise",0.85262073849831,0.972280078855312
"Gohir.D01G016400","turquoise",0.934106748985936,0.972245595227987
"Gohir.A05G203700","blue",0.932499090710291,-0.97223354426505
"Gohir.A02G068700","turquoise",0.873243751273831,0.972220703873774
"Gohir.D06G030700","turquoise",0.89326069756047,0.972143181096397
"Gohir.A05G339000","turquoise",0.895953240552152,0.972122400483729
"Gohir.A08G001700","turquoise",0.837023554785395,0.972121695217951
"Gohir.D11G279100","turquoise",0.951810944404698,0.972028773022656
"Gohir.D09G046200","turquoise",0.926258844385043,0.971911341529864
"Gohir.D03G087500","blue",0.991823070625044,-0.971893012952716
"Gohir.A06G189800","turquoise",0.904592429495331,0.971877905471079
"Gohir.A03G109800","blue",0.64085845829646,-0.971845628790769
"Gohir.A02G171900","turquoise",0.977635370655105,0.971790468518894
"Gohir.A02G151800","turquoise",0.916069861630397,0.971676862535798
"Gohir.D10G050400","blue",0.949561551644056,-0.971666725763993
"Gohir.A08G083500","blue",0.945594841037759,-0.971592235553834
"Gohir.D11G184700","turquoise",0.965326731398821,0.971577882707545
"Gohir.D08G135700","turquoise",0.789022036477978,0.971506560324706
"Gohir.D04G090100","blue",0.946715474935888,-0.971457632785375
"Gohir.D03G008400","blue",0.928206109525006,-0.971443587124038
"Gohir.D11G068500","blue",0.943054948381433,-0.971438117686034
"Gohir.D04G159600","blue",0.93435069527329,-0.971380895864951
"Gohir.A08G196700","blue",0.918090376787106,-0.971189115020906
"Gohir.D12G228400","turquoise",0.891154580967056,0.971188518867548
"Gohir.A12G139900","turquoise",0.929143485374071,0.971141601949171
"Gohir.A09G199300","turquoise",0.955985237969669,0.97097161902025
"Gohir.A11G140700","blue",0.921159123187705,-0.970969760324789
"Gohir.A12G067800","blue",0.957439226486943,-0.970890271960559
"Gohir.A05G271900","turquoise",0.898933872471405,0.970888299097253
"Gohir.A11G104800","turquoise",0.891589526253118,0.97085531731808
"Gohir.A05G331100","blue",0.680673037245411,-0.970846405351237
"Gohir.D02G046600","turquoise",0.92297833793942,0.970822022823198
"Gohir.D06G004700","blue",0.846694425004236,-0.970763285691287
"Gohir.A13G069800","turquoise",0.790423087756391,0.970684601080384
"Gohir.A13G020400","blue",0.951811810007424,-0.970525421970805
"Gohir.D03G050600","blue",0.949511202170112,-0.970499074587029
"Gohir.D11G263300","turquoise",0.876114819142826,0.970466700820459
"Gohir.D07G216900","turquoise",0.849344034860806,0.970466201185004
"Gohir.A05G162400","blue",0.877548195633833,-0.970432450352313
"Gohir.D04G182700","turquoise",0.915776753914668,0.970415581289621
"Gohir.A02G100300","turquoise",0.833846562865611,0.970363307428153
"Gohir.A08G111300","turquoise",0.890675692759204,0.970354772646036
