gene,program
Gohir.A05G190300,1
Gohir.A01G050700,1
Gohir.D10G005500,6
Gohir.A11G073100,1
Gohir.D10G145100,1
Gohir.A02G023100,10
Gohir.D08G196500,10
Gohir.A11G165900,10
Gohir.A13G004100,6
Gohir.D04G033100,10
Gohir.D03G117400,10
Gohir.A10G021500,1
Gohir.D04G153200,6
Gohir.A05G092900,1
Gohir.D12G122600,1
Gohir.D07G072600,10
Gohir.A03G067300,10
Gohir.D02G134600,1
Gohir.A05G086232,10
Gohir.D06G216500,1
Gohir.A03G214500,10
Gohir.D11G248900,6
Gohir.D05G139100,6
Gohir.D11G035100,1
Gohir.A11G182000,0
Gohir.D05G371900,6
Gohir.A02G134600,10
Gohir.A11G127700,10
Gohir.D07G010700,9
Gohir.D11G072000,10
Gohir.D11G046200,1
Gohir.A04G085200,10
Gohir.A04G053104,10
Gohir.A01G097500,10
Gohir.A11G301600,1
Gohir.D05G239300,6
Gohir.D05G307500,10
Gohir.A02G068000,10
Gohir.A03G115700,6
Gohir.D04G099300,10
Gohir.A11G093700,10
Gohir.A08G006600,1
Gohir.D04G124100,10
Gohir.D10G165400,1
Gohir.A11G262900,10
Gohir.A05G318401,8
Gohir.A12G156000,9
Gohir.D07G161200,1
Gohir.A08G102100,10
Gohir.D01G056500,10
Gohir.A04G115000,6
Gohir.D04G037100,7
Gohir.D12G189200,0
Gohir.D10G234300,10
Gohir.A13G036200,10
Gohir.D02G043601,6
Gohir.D01G082200,10
Gohir.D01G009400,10
Gohir.A08G046200,10
Gohir.A04G086500,1
Gohir.A08G119300,0
Gohir.A09G027000,0
Gohir.A05G140600,10
Gohir.A09G200500,10
Gohir.D13G009000,10
Gohir.D01G180900,10
Gohir.D08G174400,1
Gohir.A12G125600,0
Gohir.A10G038700,10
Gohir.A11G087700,6
Gohir.A09G223800,10
Gohir.D02G198100,1
Gohir.A13G058700,1
Gohir.A02G016300,10
Gohir.A07G068000,10
Gohir.A03G212500,10
Gohir.D10G062600,1
Gohir.D11G245800,6
Gohir.D10G069000,10
Gohir.A12G018900,10
Gohir.D09G245600,10
Gohir.D10G060100,7
Gohir.D12G107000,10
Gohir.D11G340000,1
Gohir.A05G123400,7
Gohir.A10G145500,10
Gohir.D11G007600,10
Gohir.D11G129600,1
Gohir.D08G172500,1
Gohir.A05G021400,10
Gohir.D02G080100,10
Gohir.A09G024800,1
Gohir.A10G059000,1
Gohir.A09G044450,10
Gohir.D10G118900,10
Gohir.D11G110000,1
Gohir.D10G116300,0
Gohir.D07G136600,1
Gohir.D02G044966,1
Gohir.A03G163500,10
Gohir.D11G272900,10
Gohir.A08G125300,0
Gohir.D05G048700,1
Gohir.A09G114300,10
Gohir.A08G126300,10
Gohir.A04G090700,10
Gohir.A02G002200,1
Gohir.D09G123400,1
Gohir.D11G245300,0
Gohir.A11G049200,10
Gohir.D10G045700,0
Gohir.A10G006400,1
Gohir.A12G064200,10
Gohir.A08G095362,0
Gohir.D06G149400,10
Gohir.D11G296300,10
Gohir.A05G076700,1
Gohir.D01G170500,1
Gohir.A08G249924,0
Gohir.A10G077900,10
Gohir.D01G187600,10
Gohir.D05G020900,10
Gohir.D11G098700,10
Gohir.D03G161800,1
Gohir.D12G037500,4
Gohir.A05G400100,4
Gohir.A02G135400,10
Gohir.A07G145400,1
Gohir.A13G109100,10
Gohir.D11G225700,6
Gohir.A10G045700,1
Gohir.A11G105100,1
Gohir.D05G236600,6
Gohir.D08G134900,10
Gohir.A02G043100,10
Gohir.D10G147600,10
Gohir.A08G014900,6
Gohir.D02G034100,1
Gohir.A03G185600,10
Gohir.A05G123800,10
Gohir.D08G170600,6
Gohir.D11G172100,10
Gohir.D06G188600,1
Gohir.D07G108800,1
Gohir.D07G143000,10
Gohir.A09G225600,0
Gohir.A11G273400,4
Gohir.A03G158800,0
Gohir.A12G254400,10
Gohir.D08G105900,10
Gohir.D11G273700,10
Gohir.A04G112100,6
Gohir.A08G227000,1
Gohir.A04G096550,10
Gohir.A09G120775,10
Gohir.A09G244700,10
Gohir.A02G072900,10
Gohir.D12G184300,1
Gohir.A13G103200,7
Gohir.D03G008200,6
Gohir.D09G239100,10
Gohir.D10G245600,1
Gohir.A08G217900,10
Gohir.D05G282600,1
Gohir.A12G054500,1
Gohir.A03G000051,10
Gohir.A01G070400,10
Gohir.D06G053500,10
Gohir.D09G085700,10
Gohir.A12G093300,1
Gohir.D01G158600,10
Gohir.D02G034500,1
Gohir.D02G203047,10
Gohir.A01G188600,10
Gohir.D12G252400,10
Gohir.D03G035500,1
Gohir.D05G128200,10
Gohir.A07G083900,0
Gohir.A05G350800,10
Gohir.D13G240100,1
Gohir.D11G082600,10
Gohir.D13G143000,10
Gohir.A03G057400,10
Gohir.A02G103100,1
Gohir.D02G184350,10
Gohir.A11G124500,6
Gohir.A04G076600,1
Gohir.D06G018600,10
Gohir.A05G258364,6
Gohir.D10G020300,9
Gohir.D05G250000,1
Gohir.D01G142300,0
Gohir.A05G273100,10
Gohir.A04G121100,4
Gohir.D01G028100,10
Gohir.A09G026300,6
Gohir.D06G201000,6
Gohir.D12G212800,6
Gohir.A01G055300,10
Gohir.A10G150100,0
Gohir.A07G187900,10
Gohir.D07G175700,9
Gohir.A04G084700,6
Gohir.A02G037700,10
Gohir.A10G102000,1
Gohir.A08G050300,0
Gohir.D04G144500,10
Gohir.D12G220700,10
Gohir.A01G019600,10
Gohir.A03G097501,10
Gohir.D02G076100,10
Gohir.D05G379500,1
Gohir.1Z049692,0
Gohir.D09G042900,10
Gohir.D11G344600,10
Gohir.D11G295500,1
Gohir.A06G018400,1
Gohir.D07G182900,1
Gohir.D12G234900,10
Gohir.D05G249550,6
Gohir.D03G129900,1
Gohir.D02G139500,6
Gohir.D04G028600,6
Gohir.D10G222111,10
Gohir.A07G189200,10
Gohir.D11G268900,10
Gohir.A02G139100,10
Gohir.D11G042800,0
Gohir.D09G228900,10
Gohir.D09G048100,6
Gohir.A06G193100,1
Gohir.A08G011100,10
Gohir.D10G006600,1
Gohir.A12G251500,1
Gohir.A03G030000,6
Gohir.D11G161300,10
Gohir.A05G031300,10
Gohir.D04G119000,6
Gohir.A04G023500,10
Gohir.D08G192800,10
Gohir.A01G025600,5
Gohir.A13G023600,10
Gohir.A04G121142,6
Gohir.D02G090200,9
Gohir.D09G204900,5
Gohir.A11G311600,6
Gohir.D13G059400,6
Gohir.D03G109700,1
Gohir.D05G006200,1
Gohir.A05G164200,6
Gohir.D01G042760,0
Gohir.D04G156400,6
Gohir.A05G198600,6
Gohir.A13G189900,10
Gohir.D13G231600,10
Gohir.D13G099600,0
Gohir.D03G041400,1
Gohir.D08G183400,6
Gohir.D13G117400,0
Gohir.A13G092900,10
Gohir.A08G232200,1
Gohir.D05G201300,6
Gohir.A08G165850,10
Gohir.A02G079800,10
Gohir.D07G079600,7
Gohir.A12G171900,10
Gohir.A05G019800,10
Gohir.D06G006300,10
Gohir.A02G029100,0
Gohir.A06G072300,10
Gohir.A04G064200,1
Gohir.D13G156800,6
Gohir.A05G102600,10
Gohir.A11G258700,10
Gohir.A07G036400,10
Gohir.D03G157201,10
Gohir.D03G046400,10
Gohir.D04G087266,10
Gohir.D05G243000,10
Gohir.D12G087401,10
Gohir.D05G117300,1
Gohir.A07G169200,10
Gohir.D02G233900,10
Gohir.D13G106300,7
Gohir.D07G045600,7
